campaign_id,targeted_accounts,paying_accounts,conversion_rate_pct,total_recovered,avg_recovery_per_target,investment_score,priority,recommended_investment_cr
CMP0000092,392,239,60.96938775510205,28976009.23,73918.39089285715,0.9349444268048495,HIGH,0.17
CMP0000007,380,228,60.0,28503414.58,75008.9857368421,0.9037723701663765,HIGH,0.16
CMP0000082,402,249,61.940298507462686,27676884.27,68847.97082089553,0.8644092442225899,HIGH,0.16
CMP0000023,417,253,60.671462829736214,28106731.28,67402.23328537171,0.8033261492526929,HIGH,0.15
CMP0000024,390,240,61.53846153846154,26313490.18,67470.48764102564,0.7966380098526418,HIGH,0.15
CMP0000104,365,211,57.80821917808219,26883718.03,73654.022,0.7618672707767413,HIGH,0.14
CMP0000115,358,211,58.93854748603352,25869310.14,72260.64284916202,0.7605670276056217,HIGH,0.14
CMP0000051,384,237,61.71875,25071278.69,65289.78825520834,0.7415863419298049,HIGH,0.14
CMP0000074,363,219,60.33057851239669,24875659.3,68527.9870523416,0.7337556159049397,HIGH,0.13
CMP0000057,363,217,59.77961432506888,25164770.25,69324.43595041323,0.7315023976687476,HIGH,0.13
CMP0000116,368,229,62.22826086956522,23936302.74,65044.30092391304,0.7314042921071848,HIGH,0.13
CMP0000064,395,230,58.22784810126582,27400659.77,69368.7589113924,0.7237862421957773,HIGH,0.13
CMP0000010,392,233,59.43877551020408,26514338.56,67638.6187755102,0.7233177887502771,HIGH,0.13
CMP0000065,392,238,60.71428571428571,25643747.58,65417.72341836734,0.718128446609521,HIGH,0.13
CMP0000046,385,237,61.55844155844156,24665841.88,64067.121766233766,0.7073495903166045,HIGH,0.13
CMP0000019,377,224,59.41644562334217,25513129.19,67674.0827320955,0.7001284896565791,HIGH,0.13
CMP0000111,395,234,59.24050632911393,26226789.97,66396.93663291138,0.6900268265633672,HIGH,0.13
CMP0000091,377,224,59.41644562334217,25319224.12,67159.74567639257,0.6877779908235536,HIGH,0.13
CMP0000040,374,220,58.82352941176471,25408662.42,67937.60005347594,0.6790672455794795,HIGH,0.12
CMP0000026,382,227,59.424083769633505,25028136.45,65518.68180628272,0.6561508831604544,HIGH,0.12
CMP0000088,403,232,57.5682382133995,26946097.47,66863.76543424318,0.649539946661595,HIGH,0.12
CMP0000103,351,207,58.97435897435898,23835003.21,67905.99205128205,0.6484024705743847,HIGH,0.12
CMP0000004,364,222,60.98901098901099,23056072.54,63340.85862637362,0.6375500977820786,HIGH,0.12
CMP0000014,378,224,59.25925925925925,24646987.35,65203.67023809524,0.6362715319187016,HIGH,0.12
CMP0000108,374,224,59.893048128342244,24058842.11,64328.454839572194,0.6336539023472447,HIGH,0.12
CMP0000002,371,217,58.490566037735846,24471078.81,65959.78115902965,0.6144233694923145,HIGH,0.11
CMP0000099,373,218,58.4450402144772,24541265.89,65794.27852546917,0.6117335582423131,HIGH,0.11
CMP0000042,398,232,58.291457286432156,25434082.91,63904.73092964824,0.5971536235919848,HIGH,0.11
CMP0000093,414,235,56.763285024154584,26929885.15,65048.03176328502,0.5903512309330446,HIGH,0.11
CMP0000063,383,218,56.919060052219315,25541011.97,66686.71532637076,0.5898168653763604,HIGH,0.11
CMP0000043,376,216,57.446808510638306,24621013.61,65481.41917553191,0.570468042892102,MEDIUM,0.1
CMP0000112,375,222,59.199999999999996,23280131.75,62080.35133333333,0.5546737649544385,MEDIUM,0.1
CMP0000090,379,222,58.575197889182064,23545069.54,62124.19403693931,0.5374491403839714,MEDIUM,0.1
CMP0000079,368,211,57.33695652173913,23804519.07,64686.193125,0.535353849003106,MEDIUM,0.1
CMP0000036,377,219,58.09018567639257,23694912.78,62851.2275331565,0.5334731090104519,MEDIUM,0.1
CMP0000068,363,210,57.85123966942148,23224917.03,63980.487685950415,0.5309597935427768,MEDIUM,0.1
CMP0000120,351,209,59.54415954415955,21741095.64,61940.44341880342,0.5305446193599508,MEDIUM,0.1
CMP0000015,378,212,56.08465608465608,24837640.63,65708.04399470899,0.5266849375567912,MEDIUM,0.1
CMP0000044,376,209,55.58510638297872,24807862.98,65978.3589893617,0.5110146551252541,MEDIUM,0.09
CMP0000095,384,218,56.770833333333336,24402362.52,63547.8190625,0.509783253560413,MEDIUM,0.09
CMP0000118,344,198,57.55813953488372,22229882.2,64621.75058139535,0.5068584087923435,MEDIUM,0.09
CMP0000025,354,200,56.49717514124294,23231853.46,65626.70468926553,0.5045530242207907,MEDIUM,0.09
CMP0000081,354,201,56.779661016949156,23013230.12,65009.12463276836,0.5008780705922694,MEDIUM,0.09
